"model_key","model_label","effect","feature","avg_high","avg_low","avg_ATE","med_ATE","q25_ATE","q75_ATE","sd_ATE","n_profiles"
"gemini","Gemini","gender_male_minus_female","agentic_count",7.24666666666667,7.05666666666667,0.19,0.149999999999999,-0.1875,0.5375,0.656453375711298,30
"gemini","Gemini","gender_male_minus_female","certainty_count",9.84,9.855,-0.0150000000000001,-0.15,-0.4875,0.4875,0.705782764272993,30
"gemini","Gemini","gender_male_minus_female","communal_count",12.22,12.755,-0.535,-0.35,-1.375,0.35,1.50951864901502,30
"gemini","Gemini","gender_male_minus_female","cv_total_words",410.31,410.37,-0.0599999999999998,0.574999999999989,-7.90000000000001,7.81249999999999,16.4874215378123,30
"gemini","Gemini","gender_male_minus_female","k01_persoenliche_daten_num_words",11.1316666666667,11.0666666666667,0.0650000000000002,0.0499999999999989,-0.3875,0.800000000000001,2.93669266235053,30
"gemini","Gemini","gender_male_minus_female","k02_profil_num_words",62.9,61.22,1.68,1.7,-1.01249999999999,3.40000000000001,3.82990951545225,30
"gemini","Gemini","gender_male_minus_female","k03_faehigkeiten_num_words",37.4866666666667,37.5066666666667,-0.0199999999999987,-0.0499999999999989,-4.2375,2.45,6.10122373253782,30
"gemini","Gemini","gender_male_minus_female","k04_berufserfahrung_num_words",94.87,92.4316666666667,2.43833333333333,2.05,-2.0625,7,7.22327038518366,30
"gemini","Gemini","gender_male_minus_female","k05_ausbildung_num_words",22.9233333333333,23.49,-0.566666666666667,-0.75,-2.25,1.5125,2.69307327753274,30
"gemini","Gemini","gender_male_minus_female","k06_skills_num_words",32.9916666666667,33.6233333333333,-0.631666666666667,-0.675000000000001,-3.9,2.3625,4.63752466920352,30
"gemini","Gemini","gender_male_minus_female","k07_sprachen_num_words",11.785,11.7183333333333,0.0666666666666667,0.0749999999999997,-0.274999999999999,0.375,0.685984484258702,30
"gemini","Gemini","gender_male_minus_female","k08_interessen_num_words",10.0816666666667,10.465,-0.383333333333333,-0.475000000000001,-1.2375,0.362499999999999,1.38335756799157,30
"gemini","Gemini","gender_male_minus_female","k09_angestrebte_position_num_words",44.1483333333333,43.66,0.488333333333334,1.05,-2.2,3.9625,5.31297506327561,30
"gemini","Gemini","gender_male_minus_female","k10_cover_letter_snippet_num_words",78.8,75.92,2.88,2.325,-0.375,8.0125,6.21368900368233,30
"gemini","Gemini","gender_male_minus_female","num_adjectives",38.2116666666667,37.8966666666667,0.315000000000001,0.325000000000003,-0.775,0.900000000000004,1.70471708644795,30
"gemini","Gemini","gender_male_minus_female","num_adverbs",13.4133333333333,13.6016666666667,-0.188333333333333,-0.149999999999999,-0.975,0.5,1.57006936664975,30
"gemini","Gemini","gender_male_minus_female","num_nouns",160.475,160.673333333333,-0.198333333333331,-1,-3.925,3.31249999999999,6.95663269878086,30
"gemini","Gemini","gender_male_minus_female","num_numerals",11.3633333333333,11.9733333333333,-0.61,-0.75,-1.825,0.287499999999999,1.51551743752696,30
"gemini","Gemini","gender_male_minus_female","num_pronouns",9.23,8.905,0.325,0.35,-0.1,0.85,1.05664971522717,30
"gemini","Gemini","gender_male_minus_female","num_verbs",15.3616666666667,14.9166666666667,0.445,0.775,-0.262500000000001,1.275,1.20647320161158,30
"gemini","Gemini","gender_male_minus_female","tentative_count",5.89333333333333,6.14166666666667,-0.248333333333333,-0.2,-0.675,0.1375,0.681970185076542,30
"openai","ChatGPT","gender_male_minus_female","agentic_count",3.20833333333333,3.315,-0.106666666666667,-0.0749999999999997,-0.25,0.0499999999999998,0.364534027864703,30
"openai","ChatGPT","gender_male_minus_female","certainty_count",3.83666666666667,3.95166666666667,-0.115,-0.0249999999999999,-0.4375,0.1375,0.457155749510323,30
"openai","ChatGPT","gender_male_minus_female","communal_count",8.53333333333333,8.74166666666667,-0.208333333333333,-0.149999999999999,-0.8375,0.4125,0.738017303475931,30
"openai","ChatGPT","gender_male_minus_female","cv_total_words",196.83,198.016666666667,-1.18666666666667,-0.424999999999997,-6.33750000000001,3.85,7.37701384933859,30
"openai","ChatGPT","gender_male_minus_female","k01_persoenliche_daten_num_words",9.385,9.08833333333333,0.296666666666667,0.2,0.0124999999999997,0.575,0.379866885335788,30
"openai","ChatGPT","gender_male_minus_female","k02_profil_num_words",39.1516666666667,39.3483333333333,-0.196666666666667,-0.300000000000001,-1.1875,1.2625,2.06626989146331,30
"openai","ChatGPT","gender_male_minus_female","k03_faehigkeiten_num_words",16.4833333333333,16.0683333333333,0.415,0.25,-1.1125,1.6375,1.9526794146894,30
"openai","ChatGPT","gender_male_minus_female","k04_berufserfahrung_num_words",45.7933333333333,44.9583333333333,0.835,0,-1.8125,3.2875,3.42871117839161,30
"openai","ChatGPT","gender_male_minus_female","k05_ausbildung_num_words",11.7116666666667,11.9916666666667,-0.28,-0.275,-0.8,0.437500000000002,1.10738897629857,30
"openai","ChatGPT","gender_male_minus_female","k06_skills_num_words",7.92666666666667,8.01666666666667,-0.09,-0.274999999999999,-0.6875,0.399999999999999,0.908522863280528,30
"openai","ChatGPT","gender_male_minus_female","k07_sprachen_num_words",6.68833333333333,6.89833333333333,-0.21,-0.125,-1.225,0.55,1.33799902066868,30
"openai","ChatGPT","gender_male_minus_female","k08_interessen_num_words",9.07833333333333,9.655,-0.576666666666667,-0.55,-1.425,0.2,1.15368475145818,30
"openai","ChatGPT","gender_male_minus_female","k09_angestrebte_position_num_words",12.895,13.1783333333333,-0.283333333333333,-0.249999999999999,-0.799999999999999,0.5125,1.22624555490307,30
"openai","ChatGPT","gender_male_minus_female","k10_cover_letter_snippet_num_words",37.7,38.8133333333333,-1.11333333333333,-1.9,-2.7,0.737499999999997,2.88088029330755,30
"openai","ChatGPT","gender_male_minus_female","num_adjectives",18.6083333333333,19.0116666666667,-0.403333333333334,-0.400000000000001,-1.15,0.524999999999999,1.24269821379718,30
"openai","ChatGPT","gender_male_minus_female","num_adverbs",4.255,4.30666666666667,-0.0516666666666666,-0.0499999999999998,-0.525,0.4875,0.783392636542178,30
"openai","ChatGPT","gender_male_minus_female","num_nouns",77.485,78.135,-0.649999999999998,0.125000000000007,-3.1875,1.35,3.13577796539804,30
"openai","ChatGPT","gender_male_minus_female","num_numerals",6.86666666666667,6.725,0.141666666666667,0.0749999999999997,-0.3875,0.4375,0.936343155978152,30
"openai","ChatGPT","gender_male_minus_female","num_pronouns",3.97666666666667,4.02166666666667,-0.0450000000000001,0.0499999999999998,-0.3,0.3875,0.641032303236821,30
"openai","ChatGPT","gender_male_minus_female","num_verbs",5.61666666666667,5.725,-0.108333333333333,-0.0999999999999996,-0.5,0.1875,0.682298768279265,30
"openai","ChatGPT","gender_male_minus_female","tentative_count",2.495,2.49166666666667,0.00333333333333334,-0.0249999999999999,-0.225,0.1875,0.44642899835776,30
"qwen4B","Qwen 4B","gender_male_minus_female","agentic_count",4.27333333333333,4.43833333333333,-0.165,-0.0999999999999999,-0.4375,0.225,0.99170264592318,30
"qwen4B","Qwen 4B","gender_male_minus_female","certainty_count",4.445,4.70333333333333,-0.258333333333333,-0.375,-0.95,0.225,1.06706844085619,30
"qwen4B","Qwen 4B","gender_male_minus_female","communal_count",9.77166666666667,9.96833333333333,-0.196666666666667,-0.375,-0.775,0.262499999999999,1.31260029720775,30
"qwen4B","Qwen 4B","gender_male_minus_female","cv_total_words",301.075,301.403333333333,-0.328333333333333,-2.90000000000001,-20.925,19.0125,25.1444299835053,30
"qwen4B","Qwen 4B","gender_male_minus_female","k01_persoenliche_daten_num_words",5.185,5.13,0.055,-0.0500000000000003,-0.4375,0.55,1.82777186760274,30
"qwen4B","Qwen 4B","gender_male_minus_female","k02_profil_num_words",63.1833333333333,61.56,1.62333333333333,-0.0499999999999972,-6.1,7.375,14.9162242919057,30
"qwen4B","Qwen 4B","gender_male_minus_female","k03_faehigkeiten_num_words",32.955,32.5333333333333,0.421666666666666,-1.125,-5.3625,4.3,8.01518691387592,30
"qwen4B","Qwen 4B","gender_male_minus_female","k04_berufserfahrung_num_words",44.045,45.165,-1.12,-1.725,-6.2375,4.4375,8.34666565678816,30
"qwen4B","Qwen 4B","gender_male_minus_female","k05_ausbildung_num_words",12.1416666666667,11.4033333333333,0.738333333333333,0.775,-1.125,2.9,2.78142494283842,30
"qwen4B","Qwen 4B","gender_male_minus_female","k06_skills_num_words",19.2366666666667,20.9366666666667,-1.7,-1.575,-4.3,1.7625,4.96419941804003,30
"qwen4B","Qwen 4B","gender_male_minus_female","k07_sprachen_num_words",13.0766666666667,12.8966666666667,0.18,0.5,-0.7375,0.75,2.76385537822154,30
"qwen4B","Qwen 4B","gender_male_minus_female","k08_interessen_num_words",18.165,18.5583333333333,-0.393333333333333,-1.725,-2.3375,2.75,3.72768610241808,30
"qwen4B","Qwen 4B","gender_male_minus_female","k09_angestrebte_position_num_words",18.2466666666667,17.8416666666667,0.405,1.575,-2.4,3.5875,4.36412391966668,30
"qwen4B","Qwen 4B","gender_male_minus_female","k10_cover_letter_snippet_num_words",73.78,73.405,0.375,0.625000000000007,-3.6125,4.86249999999999,6.60574136380749,30
"qwen4B","Qwen 4B","gender_male_minus_female","num_adjectives",22.4633333333333,23.2066666666667,-0.743333333333334,-0.75,-1.9875,0.587500000000001,1.98475801240758,30
"qwen4B","Qwen 4B","gender_male_minus_female","num_adverbs",11.5733333333333,11.045,0.528333333333333,0.475,-0.6,1.9125,1.86993837872532,30
"qwen4B","Qwen 4B","gender_male_minus_female","num_nouns",107.305,108.551666666667,-1.24666666666667,-1.35,-7,5.58750000000001,9.65218336326869,30
"qwen4B","Qwen 4B","gender_male_minus_female","num_numerals",3.89666666666667,3.73833333333333,0.158333333333333,0.275,-0.9125,1.275,1.2687954736769,30
"qwen4B","Qwen 4B","gender_male_minus_female","num_pronouns",11.1383333333333,11.4166666666667,-0.278333333333333,-0.125,-1.725,1.0875,1.67947463734088,30
"qwen4B","Qwen 4B","gender_male_minus_female","num_verbs",12.81,12.4916666666667,0.318333333333334,0.0999999999999988,-1.1875,1.7375,1.88315964004252,30
"qwen4B","Qwen 4B","gender_male_minus_female","tentative_count",3.33333333333333,3.29833333333333,0.035,-0.1,-0.5625,0.75,0.814221650751025,30
"qwen8B","Qwen 8B","gender_male_minus_female","agentic_count",4.025,4.11166666666667,-0.0866666666666667,0,-0.3125,0.325,0.763604579624159,30
"qwen8B","Qwen 8B","gender_male_minus_female","certainty_count",4.365,4.05333333333333,0.311666666666667,0.4,-0.2,0.7875,0.898339784166376,30
"qwen8B","Qwen 8B","gender_male_minus_female","communal_count",13.0566666666667,13.0066666666667,0.0500000000000001,-0.175,-0.975,0.775,1.55713042883819,30
"qwen8B","Qwen 8B","gender_male_minus_female","cv_total_words",332.583333333333,321.556666666667,11.0266666666667,15.325,-15.9375,30.775,39.0998979920473,30
"qwen8B","Qwen 8B","gender_male_minus_female","k01_persoenliche_daten_num_words",9.93,10.0983333333333,-0.168333333333333,0.0250000000000004,-0.7625,0.575,1.11048943336224,30
"qwen8B","Qwen 8B","gender_male_minus_female","k02_profil_num_words",52.8633333333333,51.745,1.11833333333333,1.65,-1.4375,5.2375,5.59264423508504,30
"qwen8B","Qwen 8B","gender_male_minus_female","k03_faehigkeiten_num_words",27.2383333333333,29.13,-1.89166666666667,-0.0499999999999989,-3.2625,3.7875,9.63553125902657,30
"qwen8B","Qwen 8B","gender_male_minus_female","k04_berufserfahrung_num_words",80.35,74.1566666666667,6.19333333333333,7.725,-0.612500000000006,15.1125,13.5912860859914,30
"qwen8B","Qwen 8B","gender_male_minus_female","k05_ausbildung_num_words",17.1283333333333,15.785,1.34333333333333,0.975,-0.900000000000001,2.8625,3.48911443495766,30
"qwen8B","Qwen 8B","gender_male_minus_female","k06_skills_num_words",21.0366666666667,20.83,0.206666666666666,-0.7,-3.1125,3.4,4.77927878943324,30
"qwen8B","Qwen 8B","gender_male_minus_female","k07_sprachen_num_words",10.3166666666667,10.7033333333333,-0.386666666666667,-0.225,-1.2875,0.45,2.11912202596253,30
"qwen8B","Qwen 8B","gender_male_minus_female","k08_interessen_num_words",11.6466666666667,11.8583333333333,-0.211666666666667,-0.249999999999999,-1.0875,0.8375,1.84103996722492,30
"qwen8B","Qwen 8B","gender_male_minus_female","k09_angestrebte_position_num_words",11.4033333333333,12.0116666666667,-0.608333333333333,-1,-1.5875,0.887500000000001,2.11130305136725,30
"qwen8B","Qwen 8B","gender_male_minus_female","k10_cover_letter_snippet_num_words",75.99,74.2133333333333,1.77666666666667,1.50000000000001,-2.4,7.1625,7.40579611466276,30
"qwen8B","Qwen 8B","gender_male_minus_female","num_adjectives",26.8116666666667,25.4466666666667,1.365,1.6,-0.8625,2.5375,2.55204954821644,30
"qwen8B","Qwen 8B","gender_male_minus_female","num_adverbs",8.75166666666667,8.725,0.0266666666666668,0.1,-1.1125,1.1625,1.67809073227496,30
"qwen8B","Qwen 8B","gender_male_minus_female","num_nouns",129.713333333333,126.386666666667,3.32666666666666,5.075,-7.175,14.925,20.5819838079633,30
"qwen8B","Qwen 8B","gender_male_minus_female","num_numerals",6.345,5.66333333333333,0.681666666666667,0.75,-0.5375,1.8375,1.83709306229712,30
"qwen8B","Qwen 8B","gender_male_minus_female","num_pronouns",7.36833333333333,7.33833333333333,0.0299999999999999,-0.275,-0.5875,0.5,0.891008727075183,30
"qwen8B","Qwen 8B","gender_male_minus_female","num_verbs",10.9066666666667,10.555,0.351666666666667,0.55,-0.775,1.05,1.44087397647815,30
"qwen8B","Qwen 8B","gender_male_minus_female","tentative_count",2.795,2.51166666666667,0.283333333333333,0.125,0.0125,0.75,0.998821144229996,30
