"seed","model_key","model_label","target","positive_class","lambda_min","lambda_1se","active_terms","accuracy","auc"
1,"chatgpt","ChatGPT","gender","male",0.0305707863186293,0.058632024787896,5,0.916666666666667,0.954618055555556
1,"chatgpt","ChatGPT","ethnicity","german",0.0544111606960487,0.0544111606960487,2,0.5,0.5
1,"gemini","Gemini","gender","male",0.0276388471304663,0.0440088607136262,6,0.895833333333333,0.9271875
1,"gemini","Gemini","ethnicity","german",0.0540513037713916,0.0593212391623925,2,0.5,0.545833333333333
1,"qwen4B","Qwen 4B","gender","male",0.033570853559816,0.0423616126348553,9,0.6125,0.676145833333333
1,"qwen4B","Qwen 4B","ethnicity","german",0.0414808300830301,0.0414808300830301,1,0.5,0.5
1,"qwen8B","Qwen 8B","gender","male",0.034219982137053,0.0496473348840534,6,0.658333333333333,0.733020833333333
1,"qwen8B","Qwen 8B","ethnicity","german",0.0512989176042577,0.0512989176042577,2,0.5,0.500034722222222
1,"qwen14B","Qwen 14B","gender","male",0.0441620773300153,0.0771744843375371,2,0.666666666666667,0.663854166666667
1,"qwen14B","Qwen 14B","ethnicity","german",0.0438163196568459,0.0480883567318375,4,0.533333333333333,0.568680555555556
1,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0407709543348554,0.0427122940174625,9,0.5875,0.628368055555556
1,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0396077508320233,0.0434694576421021,8,0.525,0.506979166666667
1,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0318628091155429,0.0670681589631015,3,0.6625,0.705104166666667
1,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0533287348462448,0.0558680227012692,1,0.5,0.5
1,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0379017407644911,0.0632239141300649,3,0.616666666666667,0.633402777777778
1,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0425667070365287,0.0445935528358501,6,0.525,0.530034722222222
7,"chatgpt","ChatGPT","gender","male",0.0314777890574721,0.0550083303473836,4,0.75,0.816388888888889
7,"chatgpt","ChatGPT","ethnicity","german",0.0433528046678542,0.0433528046678542,2,0.5,0.5
7,"gemini","Gemini","gender","male",0.0326709370638655,0.0626599254532437,4,0.854166666666667,0.885277777777778
7,"gemini","Gemini","ethnicity","german",0.0458217756604985,0.0526839071072039,3,0.5375,0.551875
7,"qwen4B","Qwen 4B","gender","male",0.0306067443679129,0.0404603148005249,11,0.670833333333333,0.725416666666667
7,"qwen4B","Qwen 4B","ethnicity","german",0.043140511802741,0.043140511802741,1,0.5,0.5
7,"qwen8B","Qwen 8B","gender","male",0.0308604162218639,0.0407956540624705,18,0.6375,0.694479166666667
7,"qwen8B","Qwen 8B","ethnicity","german",0.0434166689054041,0.0601271530584143,1,0.5,0.5
7,"qwen14B","Qwen 14B","gender","male",0.0423079476507779,0.0585917001032077,2,0.658333333333333,0.658194444444444
7,"qwen14B","Qwen 14B","ethnicity","german",0.0469772223025611,0.0592785313098093,4,0.570833333333333,0.578090277777778
7,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0359218192354321,0.0453281948544834,10,0.616666666666667,0.651979166666667
7,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0396166845117073,0.0630809650772141,2,0.541666666666667,0.542604166666667
7,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0366824615056217,0.0508010410083158,8,0.604166666666667,0.627569444444444
7,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0524906252077723,0.0524906252077723,1,0.5,0.5
7,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0386749301227667,0.0675855387578474,2,0.629166666666667,0.632152777777778
7,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0426352828866937,0.0678874273297122,2,0.545833333333333,0.552395833333333
13,"chatgpt","ChatGPT","gender","male",0.0240240007924772,0.048269815245894,6,0.8875,0.957256944444444
13,"chatgpt","ChatGPT","ethnicity","german",0.0544111606960487,0.0544111606960487,2,0.5,0.5
13,"gemini","Gemini","gender","male",0.0361328528530375,0.0692995692703427,5,0.929166666666667,0.946388888888889
13,"gemini","Gemini","ethnicity","german",0.0577697904083163,0.0577697904083163,1,0.5,0.5
13,"qwen4B","Qwen 4B","gender","male",0.0359769031083248,0.0475593486132699,7,0.654166666666667,0.726944444444445
13,"qwen4B","Qwen 4B","ethnicity","german",0.0512989176042576,0.0512989176042576,2,0.5,0.495833333333333
13,"qwen8B","Qwen 8B","gender","male",0.04052231315993,0.0561187992325416,5,0.7375,0.796423611111111
13,"qwen8B","Qwen 8B","ethnicity","german",0.0522268138622957,0.0522268138622957,2,0.5,0.508333333333333
13,"qwen14B","Qwen 14B","gender","male",0.0420226628743476,0.0805956963495147,2,0.75,0.748333333333333
13,"qwen14B","Qwen 14B","ethnicity","german",0.045258948015945,0.0626785002909059,2,0.545833333333333,0.5496875
13,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0369823855589675,0.048888537238835,7,0.65,0.692777777777778
13,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.037674279614505,0.0793007473020763,1,0.5,0.5
13,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0431064237885938,0.056984155369357,4,0.670833333333333,0.730347222222222
13,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0633229487280712,0.0633229487280712,2,0.5,0.4875
13,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0523313958639525,0.0958050896694284,2,0.641666666666667,0.643506944444444
13,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0432756412215383,0.0572078508570042,3,0.529166666666667,0.541006944444445
21,"chatgpt","ChatGPT","gender","male",0.0303215486735524,0.0439913754241552,6,0.720833333333333,0.843784722222222
21,"chatgpt","ChatGPT","ethnicity","german",0.0462815607357521,0.0462815607357521,2,0.5,0.5
21,"gemini","Gemini","gender","male",0.0334845159917017,0.0558555391136416,6,0.916666666666667,0.9478125
21,"gemini","Gemini","ethnicity","german",0.0468319520906021,0.0564092520903599,2,0.5,0.5625
21,"qwen4B","Qwen 4B","gender","male",0.0357890881845565,0.0543962317804872,4,0.620833333333333,0.655555555555556
21,"qwen4B","Qwen 4B","ethnicity","german",0.0519699700334742,0.0519699700334742,1,0.5,0.5
21,"qwen8B","Qwen 8B","gender","male",0.0354096022209058,0.0468094102266294,12,0.670833333333333,0.7325
21,"qwen8B","Qwen 8B","ethnicity","german",0.0505348417279853,0.0581027877880685,2,0.4875,0.487708333333333
21,"qwen14B","Qwen 14B","gender","male",0.0500977339021359,0.0726832340826504,2,0.675,0.671458333333333
21,"qwen14B","Qwen 14B","ethnicity","german",0.0420710078773428,0.0506746779305145,5,0.591666666666667,0.625520833333333
21,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0427534293271377,0.0469218359071282,8,0.604166666666667,0.654965277777778
21,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0541427479599314,0.0594215990464263,2,0.504166666666667,0.504166666666667
21,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.039363447617137,0.0432013351653584,13,0.679166666666667,0.746423611111111
21,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0499792240567795,0.0523590224340864,1,0.5,0.5
21,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0385177513682457,0.061331152741848,2,0.675,0.675694444444444
21,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0466129074604774,0.0616195204216441,2,0.595833333333333,0.612881944444444
42,"chatgpt","ChatGPT","gender","male",0.0290159651399501,0.0610758252800971,5,0.8625,0.934756944444444
42,"chatgpt","ChatGPT","ethnicity","german",0.0519792084828739,0.0519792084828739,2,0.5,0.504166666666667
42,"gemini","Gemini","gender","male",0.0305562607553119,0.0533979334679477,6,0.95,0.965347222222222
42,"gemini","Gemini","ethnicity","german",0.0467305060683868,0.0512866727209203,2,0.5,0.579166666666667
42,"qwen4B","Qwen 4B","gender","male",0.0328229757773996,0.041417897907421,12,0.670833333333333,0.698229166666667
42,"qwen4B","Qwen 4B","ethnicity","german",0.0467040448598171,0.0467040448598171,2,0.5,0.483333333333333
42,"qwen8B","Qwen 8B","gender","male",0.0336623896831232,0.0488383637052199,7,0.695833333333333,0.775520833333333
42,"qwen8B","Qwen 8B","ethnicity","german",0.0582356126806863,0.0582356126806863,2,0.5,0.504166666666667
42,"qwen14B","Qwen 14B","gender","male",0.0472920718126642,0.0753023522087565,2,0.716666666666667,0.717430555555556
42,"qwen14B","Qwen 14B","ethnicity","german",0.0497023327802844,0.0571456048017182,2,0.579166666666667,0.582673611111111
42,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0344291801123355,0.0414700693335154,12,0.6,0.645138888888889
42,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0455837106586236,0.050028066174432,3,0.533333333333333,0.548888888888889
42,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0356416230639064,0.0409792054450556,18,0.6875,0.7325
42,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0532569685596362,0.0532569685596362,2,0.5,0.5
42,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.046403025845069,0.0642629180842737,3,0.695833333333333,0.696805555555556
42,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0434181917791276,0.0476514118775333,10,0.570833333333333,0.590590277777778
84,"chatgpt","ChatGPT","gender","male",0.0294889659840275,0.0681233361444439,4,0.7875,0.873923611111111
84,"chatgpt","ChatGPT","ethnicity","german",0.0432428435706219,0.0432428435706219,1,0.5,0.5
84,"gemini","Gemini","gender","male",0.0264506757396272,0.0484242646162154,6,0.916666666666667,0.959270833333333
84,"gemini","Gemini","ethnicity","german",0.0555704458944352,0.0555704458944352,2,0.5,0.566666666666667
84,"qwen4B","Qwen 4B","gender","male",0.0350432847133994,0.042209760499586,10,0.7,0.737569444444445
84,"qwen4B","Qwen 4B","ethnicity","german",0.0512989176042576,0.0512989176042576,1,0.5,0.5
84,"qwen8B","Qwen 8B","gender","male",0.0312978389478489,0.0413739011632242,17,0.675,0.776527777777778
84,"qwen8B","Qwen 8B","ethnicity","german",0.056536031943013,0.056536031943013,2,0.5,0.513055555555556
84,"qwen14B","Qwen 14B","gender","male",0.0349306001895707,0.0669937565499566,2,0.716666666666667,0.711631944444444
84,"qwen14B","Qwen 14B","ethnicity","german",0.0475534771024622,0.049817771712462,5,0.575,0.595520833333333
84,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0345637203274825,0.041632123498967,12,0.604166666666667,0.654444444444444
84,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0384527848945997,0.0508323186252843,3,0.55,0.568333333333333
84,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0382982186404503,0.055564157768695,4,0.629166666666667,0.653819444444445
84,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.046788266225543,0.046788266225543,2,0.5,0.491666666666667
84,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0391440324674448,0.0517461072356055,4,0.654166666666667,0.665625
84,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0412119829805132,0.0687457309488736,2,0.533333333333333,0.543715277777778
101,"chatgpt","ChatGPT","gender","male",0.0340738930517843,0.0684623904455168,4,0.8,0.890520833333333
101,"chatgpt","ChatGPT","ethnicity","german",0.0464261427421775,0.0533787823871524,2,0.5,0.504166666666667
101,"gemini","Gemini","gender","male",0.0338401044615285,0.040760525626638,10,0.908333333333333,0.947430555555555
101,"gemini","Gemini","ethnicity","german",0.0391386704263594,0.0391386704263594,17,0.516666666666667,0.516180555555555
101,"qwen4B","Qwen 4B","gender","male",0.032882177634225,0.0378065137588612,20,0.641666666666667,0.6709375
101,"qwen4B","Qwen 4B","ethnicity","german",0.0476604547371546,0.0476604547371546,2,0.495833333333333,0.483055555555556
101,"qwen8B","Qwen 8B","gender","male",0.0314734635058594,0.0501146543872286,7,0.683333333333333,0.769409722222222
101,"qwen8B","Qwen 8B","ethnicity","german",0.0467166724385305,0.0489411219645193,2,0.5,0.495833333333333
101,"qwen14B","Qwen 14B","gender","male",0.0426914302125186,0.0564355582847942,2,0.675,0.6778125
101,"qwen14B","Qwen 14B","ethnicity","german",0.0541129335448194,0.0622167238846489,2,0.5625,0.562916666666667
101,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0335249037402109,0.0443179497525474,9,0.595833333333333,0.633645833333333
101,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0485724337624059,0.0558464955018194,2,0.5,0.5
101,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0369637408383311,0.0536280589691164,6,0.6625,0.734409722222222
101,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0598684340089249,0.0598684340089249,2,0.5,0.495833333333333
101,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0388623208841921,0.0513737011017042,7,0.683333333333333,0.719166666666667
101,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0525611379364929,0.0633100767245358,3,0.541666666666667,0.5525
123,"chatgpt","ChatGPT","gender","male",0.0228186235766814,0.0696847793136446,5,0.870833333333333,0.932604166666667
123,"chatgpt","ChatGPT","ethnicity","german",0.0431199143312054,0.0544111606960487,2,0.5,0.5
123,"gemini","Gemini","gender","male",0.0350116982449121,0.0584030326506242,6,0.891666666666667,0.927430555555555
123,"gemini","Gemini","ethnicity","german",0.0511065493336366,0.0535400261526398,2,0.545833333333333,0.545833333333333
123,"qwen4B","Qwen 4B","gender","male",0.028464717618024,0.0376286814987318,16,0.629166666666667,0.683159722222223
123,"qwen4B","Qwen 4B","ethnicity","german",0.0466083664231017,0.0466083664231017,1,0.5,0.5
123,"qwen8B","Qwen 8B","gender","male",0.0396697798028971,0.0477823902138759,8,0.641666666666667,0.752222222222222
123,"qwen8B","Qwen 8B","ethnicity","german",0.0538310983016554,0.0538310983016554,2,0.5,0.5
123,"qwen14B","Qwen 14B","gender","male",0.036564975492668,0.0734675554978507,2,0.7125,0.710069444444444
123,"qwen14B","Qwen 14B","ethnicity","german",0.0485083754960466,0.0532378822229847,4,0.554166666666667,0.5796875
123,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0355108298221554,0.0427729202383133,9,0.595833333333333,0.640034722222222
123,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0436416668142646,0.0762650521816002,1,0.5,0.5
123,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0363549424819428,0.0697255172486311,2,0.670833333333333,0.6775
123,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0452605099684565,0.0452605099684565,1,0.5,0.5
123,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0419788846478815,0.0460717740778254,6,0.625,0.649270833333333
123,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0431260984683067,0.0451795801117564,7,0.5125,0.5228125
222,"chatgpt","ChatGPT","gender","male",0.0257893076500575,0.0494615777834741,6,0.8625,0.936458333333333
222,"chatgpt","ChatGPT","ethnicity","german",0.0513260006206542,0.0537699267778895,1,0.5,0.5
222,"gemini","Gemini","gender","male",0.0301208527443897,0.0634015077779021,6,0.929166666666667,0.939861111111111
222,"gemini","Gemini","ethnicity","german",0.0416139733257142,0.0576306245183297,1,0.5,0.5
222,"qwen4B","Qwen 4B","gender","male",0.0315359983796933,0.0416887339160746,10,0.6375,0.672361111111111
222,"qwen4B","Qwen 4B","ethnicity","german",0.0506376439055812,0.0506376439055812,2,0.5,0.503263888888889
222,"qwen8B","Qwen 8B","gender","male",0.0365222773315669,0.0482803012402864,9,0.654166666666667,0.795868055555556
222,"qwen8B","Qwen 8B","ethnicity","german",0.0495696695607532,0.0495696695607532,2,0.5,0.5
222,"qwen14B","Qwen 14B","gender","male",0.0469241228559759,0.0713204943866428,2,0.683333333333333,0.682083333333333
222,"qwen14B","Qwen 14B","ethnicity","german",0.0409075272086304,0.047033715572546,9,0.5625,0.578159722222222
222,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0415474968662615,0.0549233457232744,5,0.595833333333333,0.632430555555556
222,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0498808935698782,0.0547442191146318,3,0.533333333333333,0.558854166666667
222,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0283063511989309,0.0374193304127975,30,0.670833333333333,0.710138888888889
222,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0542874397634613,0.0542874397634613,2,0.5,0.4875
222,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0400482367865461,0.0554622573240425,3,0.633333333333333,0.629791666666667
222,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0398710127671726,0.0458419758426491,8,0.575,0.619652777777778
333,"chatgpt","ChatGPT","gender","male",0.0265234537306868,0.070448621415629,3,0.716666666666667,0.778125
333,"chatgpt","ChatGPT","ethnicity","german",0.0519792084828737,0.0519792084828737,2,0.5,0.504166666666667
333,"gemini","Gemini","gender","male",0.0331910680009883,0.0438766385520406,10,0.8375,0.897083333333333
333,"gemini","Gemini","ethnicity","german",0.05308997552714,0.05308997552714,2,0.5,0.495833333333333
333,"qwen4B","Qwen 4B","gender","male",0.0299157873123955,0.0414299661384543,13,0.658333333333333,0.689305555555555
333,"qwen4B","Qwen 4B","ethnicity","german",0.0458349248514106,0.0458349248514106,1,0.5,0.5
333,"qwen8B","Qwen 8B","gender","male",0.0324916681443723,0.051735924113233,8,0.675,0.735173611111111
333,"qwen8B","Qwen 8B","ethnicity","german",0.0527981513657892,0.0527981513657892,1,0.5,0.5
333,"qwen14B","Qwen 14B","gender","male",0.0382778324519894,0.0668915993005872,2,0.654166666666667,0.653923611111111
333,"qwen14B","Qwen 14B","ethnicity","german",0.0451065168820963,0.0624674004910629,2,0.566666666666667,0.572465277777778
333,"qwen4B_topk64","Qwen 4B top_k=64","gender","male",0.0373409334935733,0.0449772865895768,9,0.641666666666667,0.688055555555556
333,"qwen4B_topk64","Qwen 4B top_k=64","ethnicity","german",0.0503947692323701,0.0553081970198336,3,0.533333333333333,0.547777777777778
333,"qwen8B_topk64","Qwen 8B top_k=64","gender","male",0.0336236631067647,0.0404998212485667,21,0.658333333333333,0.718402777777778
333,"qwen8B_topk64","Qwen 8B top_k=64","ethnicity","german",0.0381633479988894,0.0481566833532425,6,0.483333333333333,0.479479166666667
333,"qwen14B_topk64","Qwen 14B top_k=64","gender","male",0.0383745419752141,0.0771033961949178,2,0.691666666666667,0.692152777777778
333,"qwen14B_topk64","Qwen 14B top_k=64","ethnicity","german",0.0553892783058887,0.0607896645622641,3,0.533333333333333,0.5515625
